Group,Mean Save Efficiency,Median Save Efficiency,Std Dev Save Efficiency,N Goalkeepers
High Save Efficiency,0.10547813905671145,0.09899907961343765,0.027484786461155184,6
Low Save Efficiency,0.0565069472888112,0.06278153153153153,0.018111844355109874,6
