Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Mo Touré,9,FW,22-079,73,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,,,8ac64b4e
Tete Yengi,26,FW,25-197,17,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,,,1c215c70
Nestory Irankunda,17,LM,20-124,60,1,0,0,0,2,2,0,0,1,1,0,0,0,0,0,,,4ac730b2
Nishan Velupillay,23,MF,25-037,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,40cb6b33
Paul Okon-Engstler,24,CM,21-140,83,0,1,0,0,0,0,0,0,1,0,0,1,1,3,0,,,ecd6464a
Jackson Irvine,22,DFMF,33-098,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,4637747c
Aiden O'Neill,13,CM,27-344,90,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,,,c7aee75b
Connor Metcalfe,8,RM,26-220,90,1,0,0,0,1,1,0,0,0,0,0,5,0,0,0,,,73ce4d7d
Jordy Bos,5,LB,23-227,83,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,,,8070a9fd
Aziz Behich,16,DFMF,35-179,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,b6867b96
Cameron Burgess,21,CB,30-235,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,da61ca98
Harry Souttar,19,CB,27-234,90,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,0a6cb1b1
Alessandro Circati,3,CB,22-246,90,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,1223765c
Jacob Italiano,4,RB,24-318,73,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,,,2eb0ee9a
Jason Geria,6,DF,33-034,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,cd494a8d
Patrick Beach,18,GK,22-311,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3cc64624
