Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Cyle Larin,9,FW,31-062,90,1,0,0,0,6,2,0,0,3,0,0,0,0,0,0,,,e7af9060
Jonathan David,10,FW,26-155,90,3,0,0,0,8,5,0,0,0,0,0,2,0,0,0,,,ce50fd99
Ali Ahmed,20,LW,25-251,70,0,0,0,0,1,0,0,0,0,1,0,8,0,2,0,,,540a5be1
Tani Oluwaseyi,12,FW,26-034,20,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,,,950ef017
Tajon Buchanan,17,RW,27-130,82,0,0,0,0,4,1,0,0,1,3,1,10,2,0,0,,,3aca6420
Niko Sigur,23,DFMF,22-282,8,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,,,5c56986b
Ismaël Koné,8,CM,24-002,56,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,,,e0220b70
Nathan Saliba,25,MF,22-131,34,1,1,0,0,3,1,0,0,0,0,0,1,1,0,0,,,44cfc681
Stephen Eustáquio,7,CM,29-179,90,0,0,0,0,1,0,0,0,0,1,0,11,1,0,0,,,577efaec
Richie Laryea,22,LB,31-162,90,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,,,276fdbe4
Derek Cornelius,13,CB,28-205,45,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,,,577744b8
Moïse Bombito,15,DF,26-080,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,c2f23fc8
Luc De Fougerolles,4,CB,20-249,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,45c427ff
Jacob Shaffelburg,14,MF,26-204,20,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,,,339a2561
Alistair Johnston,2,RB,27-253,90,0,0,0,0,1,1,0,0,0,1,0,11,0,2,0,,,4fb17e20
Maxime Crépeau,16,GK,32-038,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ea42e480
