Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Yusuf Abdurisag,15,FW,26-316,39,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,13c8f40b
Sultan Al-Brake,18,DF,30-072,51,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,fcaa2400
Akram Afif,11,AM,29-212,58,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,fd53d9e7
Al-Hashmi Al-Hussain,25,MF,22-307,32,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,,,c164fda2
Edmilson Junior,8,AM,31-303,45,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,,,620764f4
Ahmed Fathy,20,MF,33-144,41,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,,,f2369793
Lucas Mendes,3,DF,35-350,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,5169f27f
Issa Laye,4,DM,28-178,90,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,c078667a
Assim Madibo,23,DM,29-239,53,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,,,2b1d2ada
Jassem Gaber,5,DM,24-118,45,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,af9ef8aa
Mohamed Manai,26,DF,23-236,45,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,,1e20b706
Homam Ahmed,14,LB,26-297,32,0,0,0,0,0,0,0,1,3,0,0,1,0,2,0,,,a62fa158
Boualem Khoukhi,16,CB,35-344,90,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,,,7be5ad52
Ró-Ró,2,CB,35-316,90,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,,,8735fe66
Ayoub Al-Oui,13,RB,21-099,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,010e5bae
Mahmoud Abunada,1,GK,26-133,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,27e7e545
