Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Erling Haaland,9,FW,25-349,90,2,0,0,0,4,3,0,0,1,0,0,0,0,1,0,,,1f44ac21
Antonio Nusa,20,FW,21-079,45,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,4ab12002
Andreas Schjelderup,21,FWMF,22-034,45,0,2,0,0,1,1,0,0,0,0,0,2,1,1,0,,,a427724f
Alexander Sørloth,7,FW,30-212,45,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,,,e92cd3f7
Oscar Bobb,22,FWMF,22-358,45,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,eed2427e
Patrick Berg,6,CM,28-223,90,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,,,e4114f5d
Martin Ødegaard,10,CM,27-200,90,0,0,0,0,3,1,0,0,0,1,0,3,0,0,0,,,79300479
Sander Berge,8,DM,28-141,90,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,d0b6129f
David Møller Wolfe,5,LB,24-073,89,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,,,9affc5f2
Leo Østigård,4,DFFW,26-219,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,b35a7399
Torbjørn Heggem,17,CB,27-174,90,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,,834fea76
Kristoffer Ajer,3,CB,28-079,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,a8c0acb7
Julian Ryerson,26,RB,28-230,62,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,,,009a4f60
Fredrik Aursnes,14,DFMF,30-207,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,f0677ed7
Ørjan Nyland,1,GK,35-298,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,bdedffac
