Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Brian Brobbey,19,FW,24-148,70,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,,,4c184730
Wout Weghorst,9,FW,33-326,50,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,,,c4e87b8b
Cody Gakpo,11,FW,27-053,112,1,0,0,0,1,1,0,0,2,1,0,1,1,0,0,,,1971591f
Justin Kluivert,7,FWMF,27-055,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4c3a6744
Crysencio Summerville,24,FW,24-242,120,0,1,0,0,0,0,0,0,1,1,1,3,1,0,0,,,df04eb4b
Micky van de Ven,15,LM,25-071,85,0,0,0,0,2,1,0,0,2,0,0,0,1,2,0,,,8fe2a392
Jorrel Hato,25,DF,20-114,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,bde35051
Frenkie de Jong,21,CM,29-048,109,0,0,0,0,0,0,0,0,3,3,0,0,2,2,0,,,1bacc518
Marten de Roon,3,DFMF,35-092,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2a1beb34
Ryan Gravenberch,8,CM,24-044,85,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,,,b8e740fb
Quinten Timber,26,MF,25-012,35,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,,,803e7aca
Denzel Dumfries,22,RM,30-072,120,0,0,0,0,1,0,0,0,4,1,1,2,1,0,0,,,481c9ece
Nathan Aké,5,CB,31-131,70,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,eaeca114
Teun Koopmeiners,20,DFMF,28-121,50,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,,,a26fb8aa
Virgil van Dijk,4,CB,34-356,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,e06683ca
Jan Paul van Hecke,6,CB,26-021,120,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,,,4fd08daa
Bart Verbruggen,1,GK,23-315,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,cf134113
