Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Ismael Saibari,11,FW,25-147,69,1,0,0,0,5,1,0,0,1,1,1,5,1,0,0,,,3ec9f005
Soufiane Rahimi,9,FW,30-022,21,1,1,0,0,2,1,0,0,2,2,0,0,0,0,0,,,f126a259
Ayoub El Kaabi,20,FW,32-363,69,0,0,0,0,3,2,0,0,1,1,3,0,2,0,0,,,b1bfd1d4
Gessime Yassine,16,MF,20-214,21,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,,,f5ccae19
Bilal El Khannouss,23,LW,22-045,90,0,0,0,0,2,2,0,0,1,1,0,3,1,0,0,,,f7042636
Brahim Díaz,10,RW,26-325,69,0,0,0,0,1,0,0,0,0,2,0,3,0,1,0,,,407feb71
Azzedine Ounahi,8,MF,26-066,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,83299cc0
Neil El Aynaoui,24,CM,24-357,82,0,0,0,0,1,1,0,0,0,3,0,0,0,1,0,,,17e1261b
Samir El Mourabet,15,MF,20-261,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,1a03d055
Sofyan Amrabat,4,CM,29-307,90,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,,,5a2cb25d
Anass Salah-Eddine,26,LB,24-157,82,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,,,0d274394
Noussair Mazraoui,3,DFMF,28-222,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,b74277a0
Chadi Riad,18,CB,23-007,90,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,,,b3b9b8b8
Redouane Halhal,25,CB,23-111,90,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,,,e17c2cec
Achraf Hakimi,2,RB,27-232,90,1,1,0,0,5,3,0,0,1,2,0,9,0,1,0,,,e42d61c7
Yassine Bounou,1,GK,35-080,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,f6798fc3
