Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Firas Al-Buraikan,9,FW,26-038,59,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,ac717a23
Mohammed Abu Al-Shamat,26,DFMF,23-314,31,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,,,dd65e243
Salem Al-Dawsari,10,LM,34-306,90,0,0,0,0,1,0,1,0,0,3,1,1,0,0,0,,,60ee859c
Nasser Al-Dawsari,6,CM,27-184,89,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,,,7709e4a6
Khalid Al Ghannam,17,MF,25-225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,c16843c7
Abdullah Al-Khaibari,15,CM,29-309,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,ab47ae1c
Mohamed Kanno,23,MF,31-272,45,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,74ccf212
Musab Al Juwayr,7,RM,23-001,45,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,,,62592fc1
Abdullah Al-Hamdan,19,FW,26-281,45,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,,cc4b5436
Moteb Al-Harbi,24,LB,26-121,90,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,,,1d88554c
Hassan Al Tambakti,5,CB,27-132,90,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,,,6d78c320
Ali Lajami,3,CB,30-058,90,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,,,46f7ab4f
Abdulelah Al-Amri,4,CB,29-157,59,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,,,fd0affe3
Alaa Al Hejji,18,MF,30-200,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,6d258576
Saud Abdulhamid,12,RB,26-338,90,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,,,caa254e4
Mohammed Al-Owais,21,GK,34-254,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,f2c060c6
