Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Jordan Ayew,9,FW,34-285,66,0,0,0,0,0,0,0,0,4,3,0,2,2,0,0,,,da052c14
Prince Kwabena Adu,25,FW,22-273,23,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,36bdd145
Abdul Rahman Baba,17,DFMF,31-356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,e4086af3
Antoine Semenyo,11,LW,26-167,90,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,,,efd2ec23
Kwasi Sibo,8,AM,27-364,90,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,,,be834ad7
Caleb Yirenkyi,3,AM,20-159,90,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,,,d40ce7b0
Iñaki Williams,19,RW,32-008,65,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,,,6a99e0b1
Abdul Fatawu Issahaku,7,FWMF,22-107,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,bceda5ff
Thomas Partey,5,DM,33-010,90,0,0,0,0,0,0,0,0,1,1,0,0,4,2,0,,,529f49ab
Gideon Mensah,14,LB,27-340,90,0,0,0,0,0,0,0,0,2,1,0,0,3,2,0,,,9bdd8118
Jerome Opoku,18,CB,27-252,90,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,,,091d6ee5
Jonas Adjetey,4,CB,22-192,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,bdbf78cd
Marvin Senaya,26,RB,25-146,86,0,0,0,0,1,0,0,0,2,2,0,2,5,2,0,,,1d383c10
Kojo Peprah Oppong,21,DF,22-019,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,37a6fdb3
Benjamin Asare,16,GK,33-345,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4bb65492
