Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Evidence Makgopa,17,FW,26-019,90,0,0,0,0,2,1,0,0,1,1,2,0,0,1,0,,,4d76d03b
Oswin Appollis,7,AM,24-303,61,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,,,e8933eb0
Tshepang Moremi,8,MF,25-265,29,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,,,546d38f9
Relebohile Mofokeng,10,AM,21-244,79,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,,,25c3fb97
Jayden Adams,23,MF,25-050,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,259affab
Thapelo Maseko,12,AM,22-225,74,1,0,0,0,5,1,0,0,0,4,0,1,0,0,0,,,498d45f7
Iqraam Rayners,15,FWMF,30-187,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,190b0d5e
Sphephelo Sithole,13,DM,27-113,90,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,,,33bcd4b3
Thalente Mbatha,5,DM,26-100,90,0,0,0,0,2,1,0,0,1,0,0,1,1,3,0,,,f6272be9
Aubrey Modiba,6,LB,30-337,90,0,0,0,0,1,0,1,0,1,0,1,2,0,0,0,,,bb1f97f2
Mbekezeli Mbokazi,14,CB,20-278,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,13398d42
Ime Okon,21,CB,22-124,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,3cb58055
Khuliso Mudau,20,RB,31-059,90,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,,,75388f92
Ronwen Williams,1,GK,34-154,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,a66cc153
