Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Kylian Mbappé,10,FW,27-196,90,1,0,1,1,5,4,0,0,1,2,0,0,0,0,0,,,42fd9c7f
Bradley Barcola,12,AM,23-305,60,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,,,a0d55a09
Désiré Doué,20,FWMF,21-031,30,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,9e7483ff
Michael Olise,11,AM,24-204,90,0,0,0,0,0,0,1,0,2,3,0,5,1,1,0,,,c4486bac
Ousmane Dembélé,7,AM,29-050,83,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,,,b19db005
Rayan Cherki,24,FWMF,22-321,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,b34c63a5
Adrien Rabiot,14,DM,31-092,90,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,,,8794e251
Manu Koné,6,DM,25-048,90,0,0,0,0,3,1,1,0,2,2,0,0,1,2,0,,,86574238
Lucas Digne,3,LB,32-349,90,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,,,1b84dbe1
William Saliba,17,CB,25-102,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,972aeb2a
Dayot Upamecano,4,CB,27-250,90,0,0,0,0,0,0,0,0,1,2,0,0,3,4,0,,,d248cd8f
Jules Koundé,5,RB,27-234,90,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,,,4d1666ff
Mike Maignan,16,GK,31-001,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,fcb38f57
