Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Cristiano Ronaldo,7,FW,41-132,90,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,dea698d9
Pedro Neto,18,AM,26-100,71,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,,,7ba2eaa9
Rafael Leão,17,FWMF,27-007,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,20730eae
Bruno Fernandes,8,AM,31-282,90,0,0,0,0,2,0,0,0,1,2,0,6,2,0,0,,,507c7bdf
Bernardo Silva,10,AM,31-311,45,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,3eb22ec9
Francisco Conceição,26,MF,23-185,45,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,,,5ef3d210
Vitinha,23,DM,26-124,82,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,3b029691
Gonçalo Ramos,9,FW,24-362,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,f63cda26
João Neves,15,DM,21-263,90,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,,,c2a15a27
Nuno Mendes,25,LB,23-363,71,0,0,0,0,0,0,0,0,0,3,1,3,1,0,0,,,f20e4cc9
Nélson Semedo,2,DFMF,32-213,19,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,,,d04b94db
Renato Veiga,13,CB,22-323,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,fc8fcbd1
Tomás Araújo,4,CB,24-032,90,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,,,0fa11d7d
João Cancelo,20,RB,32-021,90,0,0,0,0,0,0,0,0,2,1,1,6,2,1,0,,,bd6351cd
Diogo Costa,1,GK,26-271,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,93fffbcf
