Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Lautaro Martínez,22,FW,28-309,59,1,0,1,1,3,1,0,0,1,0,1,0,0,0,0,,,f7036e1c
Lionel Messi,10,FWMF,39-003,31,1,0,0,0,2,1,0,0,0,1,0,3,0,0,0,,,d70ce98e
Julián Álvarez,9,FW,26-147,81,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,15ab5a2b
Flaco López,21,FW,25-203,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,e1426a52
Giuliano Simeone,17,FW,23-191,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,a6536561
Valentín Barco,8,DFMF,21-339,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,b9f282ec
Giovani Lo Celso,11,CM,30-079,59,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,,,d7553721
Thiago Almada,16,FWMF,25-062,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,27f33438
Nicolás Paz,18,CM,21-292,60,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,,,01bb93d5
Alexis Mac Allister,20,MF,27-185,30,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,,,83d074ff
Leandro Paredes,5,DM,31-363,90,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,dff153a4
Nicolás Tagliafico,3,LB,33-300,90,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,,,f0661424
Marcos Senesi,2,CB,29-048,90,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,,,35141f4c
Nicolás Otamendi,19,CB,38-135,90,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,,,0d267745
Exequiel Palacios,14,RB,27-265,90,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,,,e82adcab
Emiliano Martínez,23,GK,33-298,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7956236f
