Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Darwin Núñez,9,FW,26-356,45,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,,,4d77b365
Agustín Canobbio,14,FWMF,27-257,45,0,0,0,0,1,0,0,0,0,1,0,4,0,2,0,,,4f5a2f38
Federico Viñas,21,FW,27-350,89,0,0,0,0,5,3,0,0,0,0,2,0,0,0,0,,,d30c7094
Rodrigo Aguirre,19,FW,31-257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,b5691f5d
Maxi Araújo,20,LW,26-120,80,1,0,0,0,2,2,0,0,1,3,2,6,0,0,0,,,f9ab3f4a
Brian Rodríguez,18,FWMF,26-026,10,0,0,0,0,2,1,0,0,0,1,0,6,0,0,0,,,c86041d7
Federico Valverde,8,RW,27-328,90,0,0,0,0,3,2,0,0,1,0,0,8,0,1,0,,,0959c2a2
Rodrigo Bentancur,6,CM,28-355,90,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,,,3b8674e6
Manuel Ugarte,5,CM,25-065,71,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,,,c9817014
Nicolás De La Cruz,7,MF,29-014,19,0,0,0,0,2,1,0,0,0,1,0,4,0,0,0,,,8fda5c72
Matías Viña,17,LB,28-218,45,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,,,08eb3b58
Juan Manuel Sanabria,25,DFMF,26-078,45,0,0,0,0,3,0,0,0,0,0,1,6,0,0,0,,,f1d74479
Mathías Olivera,16,CB,28-227,90,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,,,41c12f75
Sebastián Cáceres,3,CB,26-301,90,0,0,0,0,2,0,0,0,1,2,0,1,0,0,0,,,7091c68e
Guillermo Varela,13,RB,33-083,90,0,0,0,0,2,0,0,0,1,0,0,6,0,4,0,,,5c961282
Fernando Muslera,23,GK,39-364,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,a2abe631
