Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Kerem Aktürkoğlu,7,FW,27-235,84,0,0,0,0,3,1,0,0,0,2,0,0,1,0,0,,,f28659fb
Deniz Gül,9,FW,21-346,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,f0fb443e
Barış Alper Yılmaz,21,AM,26-021,45,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,,,414b2ce4
Kenan Yıldız,11,FWMF,21-040,45,0,0,0,0,6,0,0,0,0,0,0,2,0,1,0,,,d8cda243
Orkun Kökçü,6,AM,25-166,61,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,,,9bf914b4
Yunus Akgün,19,MF,25-341,29,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,1453e3cf
Arda Güler,8,AM,21-108,90,0,0,0,0,8,3,0,0,0,2,0,5,1,1,0,,,3741ca58
Hakan Çalhanoğlu,10,DM,32-125,90,0,0,0,0,5,2,0,0,1,1,0,4,0,1,0,,,cd0fa27b
İsmail Yüksek,16,DM,27-138,80,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,,,6c5af908
Salih Özcan,5,MF,28-153,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,15413fa5
Ferdi Kadioglu,20,LB,26-249,90,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,,,66c52a77
Abdülkerim Bardakcı,14,CB,31-279,90,0,0,0,0,1,1,0,0,0,2,0,1,1,1,0,,,5d9cff53
Merih Demiral,3,CB,28-100,90,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,,,e3cceee6
Zeki Çelik,2,RB,29-116,80,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,31a62dc7
Mert Müldür,18,DF,27-071,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1295552e
Uğurcan Çakır,23,GK,30-069,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,f63a8347
