Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Romelu Lukaku,9,FW,33-039,72,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,,,5eae500a
Arthur Theate,3,DF,26-027,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,df8d6029
Leandro Trossard,10,AM,31-199,90,0,0,0,0,1,0,0,0,1,1,1,3,1,0,0,,,38ceb24a
Kevin De Bruyne,7,AM,34-358,86,0,0,0,0,5,1,0,0,0,3,0,10,0,0,0,,,e46012d4
Matias Fernandez-Pardo,26,FWMF,21-138,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0cdb6a2a
Alexis Saelemaekers,22,AM,26-359,57,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,,,ee251371
Dodi Lukebakio,14,FWMF,28-270,33,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,,,0c61c77c
Youri Tielemans,8,DM,29-045,90,0,0,0,0,2,1,0,0,0,2,1,4,2,0,0,,,56f7a928
Nicolas Raskin,23,DM,25-118,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,dba1f190
Hans Vanaken,20,MF,33-301,33,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,,392a7aea
Maxim De Cuyper,5,LB,25-181,90,0,0,0,0,5,4,0,0,0,1,0,3,0,0,0,,,d494882e
Brandon Mechele,4,CB,33-144,90,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,0a6dbbf7
Nathan Ngoy,25,CB,23-011,65,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,,,eb7abf2e
Thomas Meunier,15,RB,34-282,57,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,,,e162b013
Timothy Castagne,21,DFMF,30-198,33,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,,,197640fd
Thibaut Courtois,1,GK,34-041,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1840e36d
