Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Mikel Oyarzabal,21,FW,29-089,61,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,,,8c3c640c
Ferran Torres,7,FWMF,26-140,59,1,0,0,0,3,2,0,0,1,2,1,0,0,0,0,,,9e1035f8
Álex Baena,15,AM,24-364,74,0,0,0,0,1,1,0,0,4,1,0,7,0,0,0,,,518f2234
Nico Williams,17,MF,24-007,46,0,1,0,0,3,2,0,0,2,0,1,5,0,1,0,,,afdc14d7
Dani Olmo,10,AM,28-073,74,0,0,0,0,2,1,0,0,1,2,0,1,0,0,0,,,ae44e8e2
Mikel Merino,6,MF,30-027,46,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,,,d080ed5e
Lamine Yamal,19,AM,19-006,120,0,0,0,0,4,2,0,0,2,1,0,5,3,0,0,,,82ec26c1
Fabián Ruiz Peña,8,DM,30-107,61,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,c0c7ff58
Pedri,20,MF,23-236,59,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,,,0d9b2d31
Rodri,16,DM,30-027,98,0,0,0,0,1,0,0,0,2,3,0,0,3,0,0,,,6434f10d
Martín Zubimendi,18,MF,27-167,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,3ee0dd59
Marc Cucurella,24,LB,27-362,120,0,0,0,0,1,0,0,0,1,2,1,2,0,2,0,,,1daec722
Aymeric Laporte,14,CB,32-053,98,0,0,0,0,1,1,0,0,1,2,0,0,0,2,0,,,119b9a8e
Eric García,4,DFMF,25-191,22,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,2bed3eab
Pau Cubarsí,22,CB,19-178,120,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,,,cc7888f3
Pedro Porro,12,RB,26-309,120,0,0,0,0,0,0,0,0,3,3,0,6,2,2,0,,,27d0a506
Unai Simón,23,GK,29-038,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5dcf3e90
