Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Tomás Rodríguez,9,FW,27-110,45,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,,,59f97bc8
José Fajardo,17,FW,32-313,45,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,,,682e47b3
José Luis Rodríguez,7,LM,28-008,70,0,0,0,0,2,1,0,0,2,1,0,1,1,0,0,,,b333b014
Azarías Londoño,24,MF,25-006,20,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,31d68775
Yoel Bárcenas,11,CM,32-247,70,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,,,b39849eb
Ismael Díaz,10,FWMF,29-046,20,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,,,f2a276d1
Carlos Harvey,14,CM,26-144,87,0,0,0,0,2,0,0,0,2,1,0,0,1,0,0,,,3f18600c
Alberto Quintero,19,FWMF,38-191,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,5854ae43
Cristian Martínez,6,RM,29-141,90,0,0,0,0,0,0,0,0,1,2,0,2,1,1,0,,,fdb15495
Jorge Gutiérrez,26,LB,27-299,87,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,,,56f6d192
Erick Davis,15,DF,35-088,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,2ffb0739
Andrés Andrade Cedeño,16,CB,27-254,90,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,,,6ea23758
José Córdoba,3,CB,25-113,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,bec98750
Fidel Escobar,4,CB,31-169,90,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,,,4991ec66
Michael Amir Murillo,23,RB,30-136,90,0,0,0,0,2,0,0,0,0,3,1,1,0,0,0,,,349cae8f
Orlando Mosquera,22,GK,31-184,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ea34d827
