Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Deniz Undav,26,FW,29-345,62,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,,dd549382
Jamal Musiala,10,MF,23-123,58,0,0,0,0,0,0,1,0,1,2,0,4,1,0,0,,,2c0558b8
Kai Havertz,7,FW,27-018,120,1,0,0,0,4,3,1,0,2,3,1,1,0,0,0,,,fed7cb61
Florian Wirtz,17,LW,23-057,109,0,1,0,0,2,0,0,0,0,2,1,10,2,0,0,,,e7fcf289
Nadiem Amiri,20,MF,29-245,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,555d5edd
Leroy Sané,19,RW,30-169,87,0,0,0,0,1,0,0,0,0,0,1,8,0,1,0,,,2b114be3
Nick Woltemade,11,FWMF,24-135,33,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,,,7ca196eb
Aleksandar Pavlovic,5,CM,22-057,78,0,0,0,0,1,0,0,0,5,0,0,0,0,2,0,,,2658c82f
Waldemar Anton,3,DFMF,29-344,42,0,0,0,0,1,1,0,0,3,1,1,1,0,1,0,,,5e66fa06
Felix Nmecha,23,CM,25-262,45,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,091c86e2
Leon Goretzka,8,MF,31-143,75,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,,cc86b9a3
Nathaniel Brown,18,LB,23-013,120,0,0,0,0,0,0,0,0,2,1,0,9,3,0,0,,,abc79c47
Antonio Rüdiger,2,CB,33-118,109,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,,,18b896d6
Malick Thiaw,24,DFMF,24-325,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ff5ea0bf
Jonathan Tah,4,CB,30-138,120,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,,,bd142efb
Joshua Kimmich,6,RB,31-141,120,0,0,0,0,5,1,0,0,0,2,0,16,1,0,0,,,49296448
Manuel Neuer,1,GK,40-094,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,8778c910
