Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Mikel Oyarzabal,21,FW,29-080,78,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,,,8c3c640c
Nico Williams,17,MF,23-363,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,afdc14d7
Álex Baena,15,AM,24-355,54,0,0,0,0,1,0,0,0,2,1,0,4,0,0,0,,,518f2234
Ferran Torres,7,FWMF,26-131,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,9e1035f8
Dani Olmo,10,AM,28-064,85,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,,,ae44e8e2
Mikel Merino,6,MF,30-018,5,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,,,d080ed5e
Lamine Yamal,19,AM,18-362,90,0,0,0,0,6,2,0,0,2,4,1,6,0,0,0,,,82ec26c1
Fabián Ruiz Peña,8,DM,30-098,54,1,0,0,0,2,1,0,0,0,1,0,2,0,0,0,,,c0c7ff58
Pedri,20,MF,23-227,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0d9b2d31
Rodri,16,DM,30-018,90,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,,,6434f10d
Marc Cucurella,24,LB,27-353,90,0,0,0,0,1,1,0,0,1,0,2,1,0,0,0,,,1daec722
Aymeric Laporte,14,CB,32-044,90,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,,,119b9a8e
Pau Cubarsí,22,CB,19-169,90,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,,,cc7888f3
Pedro Porro,12,RB,26-300,90,0,0,0,0,1,0,0,0,4,2,0,3,2,1,0,,,27d0a506
Unai Simón,23,GK,29-029,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,5dcf3e90
