Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Enner Valencia,13,FW,36-228,90,0,0,0,0,7,5,0,0,0,1,1,0,0,0,0,,,fb485406
Gonzalo Plata,19,FW,25-231,90,0,0,0,0,5,3,0,0,0,1,0,4,1,1,0,,,54bcdeb0
Pervis Estupiñán,7,LW,28-150,69,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,d38fdf53
Nilson Angulo,20,FWMF,23-001,21,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,,,a9b9d89c
Moisés Caicedo,23,AM,24-230,90,0,0,0,0,1,1,0,0,0,0,0,6,2,1,0,,,16264a81
Pedro Vite,15,AM,24-103,90,0,0,0,0,2,1,0,0,1,2,0,3,1,0,0,,,9c146b36
John Yeboah,9,RW,25-362,88,0,0,0,0,3,2,0,0,0,0,0,8,1,1,0,,,8dfdc6c3
Jordy Caicedo,16,FW,28-214,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7fcb27d8
Jordy Alcivar,5,DM,26-319,45,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,,,6e98c19f
Kevin Rodríguez,11,FW,26-108,45,0,0,0,0,4,1,0,0,0,2,0,0,1,0,0,,,189fb038
Piero Hincapié,3,CB,24-162,90,0,0,0,0,2,0,0,0,1,2,0,4,1,1,0,,,0c7a48f8
Willian Pacho,6,CB,24-247,90,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,,,ecbe2839
Alan Franco,21,CB,27-303,82,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,,,c76b161b
Ángelo Preciado,17,DFMF,28-122,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,eadc8e4f
Hernán Galíndez,1,GK,39-082,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,89c136f6
