Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Odeh Al-Fakhouri,11,FW,20-217,45,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,,,30591ae5
Mahmoud Al-Mardi,13,FWMF,32-264,45,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,,,1eedc1ea
Ali Olwan,9,LM,26-093,89,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,,,33c1d68d
Sharara,7,FW,28-179,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,67e2aed8
Noor Al Rawabdeh,8,CM,29-123,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,3bb06c86
Nizar Al Rashdan,21,CM,27-096,75,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,,,feaa0ffd
Amer Jamous,6,MF,23-359,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,32d4f1e1
Ali Azaizeh,24,RM,22-075,45,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,,,3a46ac67
Musa Al-Taamari,10,FWMF,29-017,45,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,,,f15f8b2b
Mohannad Abu Taha,20,LB,23-145,90,0,0,0,0,1,0,1,0,1,0,0,0,0,5,0,,,5c4bac6c
Husam Abu Dahab,4,CB,26-045,89,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,,300aaeb6
Salim Obaid,17,DF,34-161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,f494bf5f
Yazan Al-Arab,5,CB,30-147,90,0,0,0,0,0,0,1,0,3,0,0,0,1,6,0,,,32878a09
Abdallah Nasib,3,CB,32-122,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,aaab3072
Ihsan Haddad,23,RB,32-142,90,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,,,85660a5d
Yazeed Abulaila,1,GK,33-170,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5d11fc17
