Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Mikel Oyarzabal,21,FW,29-061,45,2,1,0,0,5,3,0,0,1,0,0,1,1,0,0,,,8c3c640c
Ferran Torres,7,FWMF,26-112,45,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,,,9e1035f8
Álex Baena,15,FW,24-336,61,0,0,0,0,2,0,0,0,1,0,0,7,0,1,0,,,518f2234
Nico Williams,17,MF,23-344,29,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,afdc14d7
Lamine Yamal,19,FW,18-343,45,1,0,0,0,5,2,0,0,0,0,0,6,1,0,0,,,82ec26c1
Yéremy Pino,11,FWMF,23-244,45,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,,,540ec57b
Pedri,20,CM,23-208,69,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,,,0d9b2d31
Fabián Ruiz Peña,8,MF,30-079,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,c0c7ff58
Dani Olmo,10,CM,28-045,60,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,,,ae44e8e2
Mikel Merino,6,MF,29-364,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,d080ed5e
Rodri,16,DM,29-364,90,0,0,0,0,1,0,0,0,0,1,1,0,2,1,0,,,6434f10d
Marc Cucurella,24,LB,27-334,90,0,0,0,0,1,1,0,0,2,0,0,2,0,1,0,,,1daec722
Aymeric Laporte,14,CB,32-025,90,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,,,119b9a8e
Pau Cubarsí,22,CB,19-150,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,cc7888f3
Pedro Porro,12,RB,26-281,90,0,0,0,0,2,1,0,0,1,0,0,6,3,2,0,,,27d0a506
Unai Simón,23,GK,29-010,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5dcf3e90
