Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Yoane Wissa,20,FW,29-287,90,1,0,0,0,2,1,0,0,3,3,0,0,1,0,0,,,2500cef9
Cédric Bakambu,17,FW,35-067,84,0,0,0,0,2,0,0,0,1,1,2,1,0,0,0,,,0af4dcf0
Simon Banza,23,FWMF,29-308,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,be47b750
Edo Kayembe,25,CM,28-014,74,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,,,f99b71de
Charles Pickel,18,DFMF,29-033,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,f71ad8cb
Samuel Moutoussamy,8,CM,29-309,90,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,,,af0c835b
Ngal'Ayel Mukau,6,CM,21-226,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,bb461b8a
Noah Sadiki,14,MF,21-182,34,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,,645481cc
Arthur Masuaku,26,LB,32-222,74,0,1,0,0,0,0,0,0,0,1,0,4,1,0,0,,,57df7a11
Joris Kayembe,12,DFFW,31-313,16,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,,,4657faba
Steve Kapuadi,3,CB,28-048,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,3f3c941a
Axel Tuanzebe,4,CB,28-215,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,2baec6ce
Chancel Mbemba,22,CB,31-313,90,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,,,e76cb9cc
Aaron Wan-Bissaka,2,RB,28-203,84,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,,,9e525177
Gédéon Kalulu,24,DF,28-292,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,dd211559
Lionel Mpasi,1,GK,31-320,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5c6b0637
