Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Jürgen Locadia,9,FW,32-225,82,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,,,6cc47ae1
Gervane Kastaneer,19,FWMF,30-011,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,0c142e14
Juninho Bacuna,7,LM,28-317,74,0,0,0,0,3,1,1,0,1,1,0,0,1,0,0,,,aaf1bf05
Kenji Gorré,14,FWMF,31-264,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,52d1a4c6
Leandro Bacuna,10,CM,34-303,90,0,0,0,0,2,1,1,0,2,0,0,1,0,0,0,,,9dc69d38
Livano Comenencia,8,CM,22-137,83,0,0,0,0,3,1,1,0,2,0,0,0,0,2,0,,,c9d96dc1
Godfried Roemeratoe,6,MF,26-305,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,a646b710
Tahith Chong,21,RM,26-198,75,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,,,2696b6a9
Jearl Margaritha,16,FWMF,26-071,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,be915a68
Deveron Fonville,24,LB,23-035,75,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,,,21932982
Roshon van Eijma,4,DF,28-011,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,130368de
Sherel Floranus,5,CB,27-301,90,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,,,5ad49fbb
Armando Obispo,18,CB,27-107,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,2ffa6348
Juriën Gaari,3,CB,32-179,90,0,0,0,0,0,0,1,0,2,1,0,0,2,2,0,,,bf7a9d1a
Joshua Brenet,20,RB,32-092,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,2b5527c4
Eloy Room,1,GK,37-134,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6b33d86b
