Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Sontje Hansen,12,FW,24-027,45,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,70bad10b
Jeremy Antonisse,11,FWMF,24-077,45,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,6011e63a
Jürgen Locadia,9,FW,32-219,64,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,,,6cc47ae1
Jearl Margaritha,16,FWMF,26-065,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,be915a68
Tahith Chong,21,AM,26-192,82,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,,,2696b6a9
Gervane Kastaneer,19,FWMF,30-005,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,0c142e14
Juninho Bacuna,7,DM,28-311,90,0,0,0,0,1,0,0,0,2,2,0,1,2,5,0,,,aaf1bf05
Leandro Bacuna,10,DM,34-297,90,0,0,0,0,2,0,0,0,1,2,0,2,1,0,0,,,9dc69d38
Livano Comenencia,8,DM,22-131,90,1,0,0,0,2,1,0,0,1,1,0,1,0,4,0,,,c9d96dc1
Deveron Fonville,24,LB,23-029,90,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,,,21932982
Armando Obispo,18,CB,27-101,90,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,,,2ffa6348
Riechedly Bazoer,23,CB,29-245,90,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,,,da59a197
Sherel Floranus,5,RB,27-295,90,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,,,5ad49fbb
Eloy Room,1,GK,37-128,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6b33d86b
