Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Gilson Benchimol,9,FW,24-174,57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,eae26fce
Nuno da Costa,21,FWMF,35-131,33,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,909222de
Garry Rodrigues,11,LW,35-206,57,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,149895bf
Hélio Varela,26,FW,24-049,33,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,91c99fec
Jamiro Monteiro,10,AM,32-210,79,0,0,0,0,2,0,0,0,0,1,0,1,0,2,0,,,d384bddd
Yannick,16,MF,30-174,11,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,,,6246aa55
Telmo Arcanjo,18,AM,25-000,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,c692cef2
Deroy Duarte,14,MF,26-352,45,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,,,6af8fc5b
Ryan Mendes,20,RW,36-164,90,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,,,ba6e01ab
Kevin Pina,6,DM,29-145,70,1,0,0,0,1,1,0,0,1,0,0,0,2,1,0,,,296026ae
Laros Duarte,15,MF,29-113,20,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,,,4af3d3c8
Sidny Lopes Cabral,13,LB,23-276,90,0,0,0,0,2,0,1,0,1,5,0,4,1,1,0,,,20700569
Diney,3,CB,31-155,90,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,,,d2e33ba2
Pico,4,CB,34-004,90,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,,,faef0f92
Steven Moreira,22,RB,31-312,90,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,,,f10983ae
Vozinha,1,GK,40-018,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,dc04ac24
