Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Folarin Balogun,20,FW,24-344,71,2,0,0,0,5,3,0,0,0,4,2,0,0,0,0,,,31822f8c
Ricardo Pepi,9,FW,23-154,19,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,a2b1ed42
Christian Pulisic,10,AM,27-267,45,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,,,1bf33a9a
Sebastian Berhalter,14,MF,25-033,45,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,,,f33ee427
Weston McKennie,8,AM,27-288,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,01c3aff5
Sergiño Dest,2,AM,25-221,71,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,,,5976f83e
Timothy Weah,21,DFFW,26-110,19,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,,,8eec784d
Malik Tillman,17,DM,24-015,81,0,1,0,0,5,2,0,0,1,4,0,1,0,1,0,,,a5420709
Gio Reyna,7,MF,23-211,9,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,,,7fa4e703
Tyler Adams,4,DM,27-118,90,0,0,0,0,0,0,1,0,2,3,0,0,2,3,0,,,2b09d998
Antonee Robinson,5,LB,28-308,90,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,,,289601e6
Tim Ream,13,CB,38-250,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,28b40c9c
Chris Richards,3,CB,26-076,90,0,0,0,0,1,0,0,0,3,1,0,0,1,1,0,,,0a3d6d2b
Alex Freeman,16,RB,21-307,90,0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,,,754f150b
Matt Freese,24,GK,27-283,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2f49476c
