Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Marko Arnautović,7,FW,37-069,45,1,0,0,0,1,1,1,0,1,0,2,0,0,0,0,,,00459419
Michael Gregoritsch,11,FWMF,32-070,45,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,8e235926
Romano Schmid,18,FW,26-151,45,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,220ace7e
Paul Wanner,24,MF,20-186,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,cb64672e
Marcel Sabitzer,9,AM,32-102,90,1,0,0,0,1,1,0,0,1,0,0,6,0,2,0,,,e280527c
Xaver Schlager,4,AM,28-272,45,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,8f056768
Florian Grillitsch,10,DFMF,30-324,45,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,,,ffbbc83b
Konrad Laimer,20,AM,29-031,90,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,,,c1b7847c
Nicolas Seiwald,6,DM,25-054,90,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,,,28c6e925
Phillipp Mwene,16,LB,32-149,89,0,0,0,0,1,0,0,0,0,1,0,3,0,3,0,,,2ff76adc
Saša Kalajdžić,14,FWMF,28-355,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,15f24fe7
David Alaba,8,CB,34-003,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,05439de2
Kevin Danso,3,DFMF,27-281,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,6e33125f
Philipp Lienhart,15,CB,29-351,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,302527b2
Stefan Posch,5,RB,29-044,90,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,,,7f609bfc
Alexander Schlager,1,GK,30-146,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6fe5c35b
