Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Mikel Oyarzabal,21,FW,29-055,90,0,0,0,0,5,1,0,0,0,0,0,1,1,0,0,,,8c3c640c
Gavi,9,FW,21-314,70,0,0,0,0,1,0,0,0,2,0,0,2,2,1,0,,,19cae58d
Lamine Yamal,19,FWMF,18-337,20,0,0,0,0,2,0,0,0,1,0,0,7,0,0,0,,,82ec26c1
Ferran Torres,7,FW,26-106,80,0,0,0,0,4,1,0,0,2,0,0,4,0,0,0,,,9e1035f8
Dani Olmo,10,FWMF,28-039,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ae44e8e2
Pedri,20,CM,23-202,90,0,0,0,0,2,1,1,0,1,0,1,11,2,1,0,,,0d9b2d31
Fabián Ruiz Peña,8,CM,30-073,70,0,0,0,0,5,1,0,0,0,0,0,2,1,1,0,,,c0c7ff58
Mikel Merino,6,MF,29-358,20,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,,,d080ed5e
Rodri,16,DM,29-358,86,0,0,0,0,2,0,0,0,1,0,0,2,2,0,0,,,6434f10d
Nico Williams,17,MF,23-338,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,afdc14d7
Marc Cucurella,24,LB,27-328,90,0,0,0,0,2,1,0,0,1,0,1,4,1,0,0,,,1daec722
Aymeric Laporte,14,CB,32-019,90,0,0,0,0,2,1,0,0,0,0,0,1,0,2,0,,,119b9a8e
Pau Cubarsí,22,CB,19-144,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,cc7888f3
Marcos Llorente,5,RB,31-136,90,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,,,02c15616
Unai Simón,23,GK,29-004,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5dcf3e90
