Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Harry Kane,9,FW,32-334,83,1,0,0,0,3,2,0,0,2,1,1,0,0,0,0,,,21a66f6a
Ollie Watkins,19,FWMF,30-179,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,aed3a70f
Marcus Rashford,11,AM,28-239,90,0,0,0,0,5,1,0,0,1,0,1,6,1,0,0,,,a1d5bd30
Morgan Rogers,17,AM,23-336,90,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,,,2e5915f1
Bukayo Saka,7,AM,24-295,62,0,1,0,0,3,0,0,0,1,1,1,5,1,0,0,,,bc7dc64d
Noni Madueke,20,FWMF,24-109,28,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,,,bf34eebd
Jude Bellingham,10,DM,22-363,70,1,1,0,0,2,1,0,0,0,4,0,2,4,0,0,,,57d88cf9
Eberechi Eze,21,FWMF,27-363,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,ae4fc6a4
Elliot Anderson,8,DM,23-233,83,0,0,0,0,1,1,0,0,1,3,0,5,2,2,0,,,de31038e
Jordan Henderson,14,MF,36-010,7,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,,,935e6b8f
Nico O'Reilly,3,LB,21-098,90,0,0,0,0,1,0,0,0,2,0,0,1,3,0,0,,,91ca4a16
Marc Guéhi,6,CB,25-349,90,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,,,d0706b27
Ezri Konsa,2,CB,28-247,90,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,,,0313a347
Jarell Quansah,26,RB,23-149,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,4125cb98
Djed Spence,25,DFMF,25-322,28,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,9bc9a519
Jordan Pickford,1,GK,32-112,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4806ec67
