Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Musa Al-Taamari,10,FW,29-012,83,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,,,f15f8b2b
Ali Azaizeh,24,MF,22-070,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,3a46ac67
Mahmoud Al-Mardi,13,LM,32-259,75,0,0,0,0,1,1,0,0,2,1,0,3,0,0,0,,,1eedc1ea
Odeh Al-Fakhouri,11,MF,20-212,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,30591ae5
Noor Al Rawabdeh,8,CM,29-118,90,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,,,3bb06c86
Nizar Al Rashdan,21,CM,27-091,90,1,0,0,0,2,1,0,0,1,2,0,0,2,0,0,,,feaa0ffd
Ali Olwan,9,RM,26-088,89,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,,,33c1d68d
Sharara,7,FW,28-174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,67e2aed8
Mohannad Abu Taha,20,LB,23-140,84,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,5c4bac6c
Mohammad Abu Hasheesh,2,DF,31-044,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,72c2fa7a
Husam Abu Dahab,4,CB,26-040,89,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,,,300aaeb6
Salim Obaid,17,DF,34-156,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,f494bf5f
Yazan Al-Arab,5,CB,30-142,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,32878a09
Abdallah Nasib,3,CB,32-117,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,aaab3072
Ihsan Haddad,23,RB,32-137,90,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,,,85660a5d
Yazeed Abulaila,1,GK,33-165,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5d11fc17
