Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Julio Enciso,19,FW,22-162,60,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,9cfbad36
Gustavo Caballero,24,FWMF,24-286,30,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,,,90a38ca7
Matías Galarza,23,LM,24-143,90,0,0,0,0,0,0,0,0,3,3,0,0,2,3,0,,,8e97a57b
Andrés Cubas,14,CM,30-043,90,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,,,9b40a6ea
Diego Gómez,8,CM,23-099,70,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,,,916728da
Mauricio,11,MF,25-043,20,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0,,,bf4cbc22
Miguel Almirón,10,RM,32-144,70,0,0,0,0,1,0,0,0,0,2,0,1,2,1,0,,,862a1c15
Gabriel Ávalos,21,FW,35-265,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,b6781b67
Júnior Alonso,6,LB,33-145,90,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,,,b18a3023
Omar Alderete,3,CB,29-190,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,bb08bce9
José Canale,13,DF,29-349,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,97d24b73
Gustavo Gómez,15,CB,33-059,90,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,d5ce52a5
Gustavo Velásquez,2,CB,35-078,90,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,,,b99b4cf5
Juan Cáceres,4,RB,26-033,90,0,0,0,0,0,0,0,0,1,3,0,0,3,3,0,,,db887bdf
Orlando Gill,12,GK,26-023,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0d425331
