Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Ayase Ueda,18,FW,27-292,90,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,,,c0295327
Daizen Maeda,11,AM,28-252,89,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,,,395451fc
Kōki Ogawa,19,FW,28-325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3d2e8955
Junya Itō,14,AM,33-112,77,0,0,0,0,1,0,0,0,0,2,0,3,1,0,0,,,dbd3a428
Shuto Machino,6,FW,26-272,13,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,964dde35
Keito Nakamura,13,DM,25-336,65,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,d97af612
Junnosuke Suzuki,25,DF,22-352,25,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,,,77428b1e
Daichi Kamada,15,DM,29-328,77,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,,,15b287da
Ao Tanaka,7,MF,27-292,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,1d36d6b6
Kaishū Sano,24,DM,25-181,90,1,0,0,0,1,1,1,0,2,0,0,0,0,1,0,,,7a7a6361
Ritsu Doan,10,DM,28-013,65,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,d01bbb6f
Yukinari Sugawara,2,DFFW,26-001,25,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,580bcd18
Hiroki Ito,21,CB,27-048,90,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,204dded0
Shogo Taniguchi,3,CB,34-349,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,828a9c47
Takehiro Tomiyasu,22,CB,27-236,90,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,b3af9be1
Zion Suzuki,1,GK,23-312,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,51e1f4f5
