Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Brian Brobbey,19,FW,24-144,76,1,0,0,0,2,1,0,0,1,0,0,0,1,0,0,,,4c184730
Memphis,10,FWMF,32-132,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8f696594
Cody Gakpo,11,FW,27-049,83,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,,,1971591f
Noa Lang,17,FWMF,27-008,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8e034340
Donyell Malen,18,FW,27-167,71,0,0,0,0,2,0,0,0,0,2,0,3,0,0,0,,,116c35df
Crysencio Summerville,24,FWMF,24-238,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,df04eb4b
Tijjani Reijnders,14,CM,27-331,71,0,1,0,0,3,2,0,0,0,1,0,7,0,0,0,,,afb61630
Justin Kluivert,7,FWMF,27-051,19,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,,,4c3a6744
Ryan Gravenberch,8,CM,24-040,90,0,0,0,0,2,0,0,0,2,1,0,1,0,2,0,,,b8e740fb
Frenkie de Jong,21,DM,29-044,71,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,,,1bacc518
Teun Koopmeiners,20,DFMF,28-117,19,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,,,a26fb8aa
Nathan Aké,5,LB,31-127,90,0,0,0,0,1,0,0,0,2,2,0,1,0,2,0,,,eaeca114
Virgil van Dijk,4,CB,34-352,90,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,,,e06683ca
Jan Paul van Hecke,6,CB,26-017,90,1,0,0,0,2,1,0,0,2,0,0,0,1,1,0,,,4fd08daa
Denzel Dumfries,22,RB,30-068,90,0,0,0,0,4,2,0,0,0,1,0,7,1,0,0,,,481c9ece
Bart Verbruggen,1,GK,23-311,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,cf134113
