Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Kai Havertz,7,FW,27-003,90,2,0,1,1,4,2,0,0,1,1,0,0,0,1,0,,,fed7cb61
Florian Wirtz,17,AM,23-042,90,0,1,0,0,3,0,0,0,0,0,0,1,2,1,0,,,e7fcf289
Jamal Musiala,10,AM,23-108,63,1,0,0,0,3,1,0,0,2,2,0,0,2,0,0,,,2c0558b8
Deniz Undav,26,FWMF,29-330,27,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,,,dd549382
Leroy Sané,19,AM,30-154,90,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,,,2b114be3
Aleksandar Pavlovic,5,DM,22-042,90,0,0,0,0,3,1,0,0,6,1,0,0,3,0,0,,,2658c82f
Felix Nmecha,23,DM,25-247,72,1,0,0,0,4,3,0,0,1,1,0,0,2,0,0,,,091c86e2
Leon Goretzka,8,MF,31-128,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,cc86b9a3
Nathaniel Brown,18,LB,22-363,72,1,1,0,0,2,1,0,0,2,0,0,5,1,1,0,,,abc79c47
David Raum,22,DFMF,28-053,18,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,,,7d450ed3
Nico Schlotterbeck,15,CB,26-195,90,1,0,0,0,2,2,0,0,2,1,0,0,1,3,0,,,34e12499
Jonathan Tah,4,CB,30-123,72,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,bd142efb
Antonio Rüdiger,2,DF,33-103,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,18b896d6
Joshua Kimmich,6,RB,31-126,82,0,2,0,0,0,0,0,0,0,2,0,4,0,1,0,,,49296448
Waldemar Anton,3,DFMF,29-329,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,5e66fa06
Manuel Neuer,1,GK,40-079,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,8778c910
