Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Breel Embolo,7,FW,29-119,90,1,0,1,1,4,1,0,0,2,0,0,0,0,0,0,,,0b4f388a
Ruben Vargas,17,AM,27-312,78,0,0,0,0,3,1,0,0,1,4,0,11,1,0,0,,,6ecbddf6
Zeki Amdouni,23,FWMF,25-191,12,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,,,2ee5b0c9
Michel Aebischer,20,AM,29-158,65,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,,,f9c927de
Fabian Rieder,22,FWMF,24-117,25,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,,,c2bd8585
Dan Ndoye,11,AM,25-231,65,0,0,0,0,6,2,0,0,0,4,0,1,0,0,0,,,8e697a8f
Johan Manzambi,9,MF,20-242,25,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,,,8fcf0e12
Remo Freuler,8,DM,34-059,88,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,,,98d2c2c4
Ardon Jashari,14,MF,23-318,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,889588db
Granit Xhaka,10,DM,33-259,90,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,,,e61b8aee
Ricardo Rodríguez,13,LB,33-292,88,0,0,0,0,0,0,0,0,2,0,0,8,0,2,0,,,7f78ad23
Miro Muheim,2,DFMF,28-081,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,844c6a91
Manuel Akanji,5,CB,30-329,90,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,,,89ac64a6
Nico Elvedi,4,CB,29-256,90,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,,,48035304
Denis Zakaria,6,RB,29-205,90,0,0,0,0,2,1,1,0,1,0,0,7,2,2,0,,,384d58d9
Gregor Kobel,1,GK,28-189,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,cd59b9df
