Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Cristiano Ronaldo,7,FW,41-138,90,2,0,0,0,7,5,0,0,1,1,2,0,1,1,0,,,dea698d9
João Félix,11,AM,26-225,62,0,0,0,0,3,1,0,0,1,2,0,1,2,0,0,,,8aafd64f
Francisco Trincão,16,FWMF,26-176,28,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,77e39b04
Bruno Fernandes,8,AM,31-288,90,0,1,0,0,2,1,0,0,1,1,0,6,1,0,0,,,507c7bdf
Pedro Neto,18,AM,26-106,45,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,,7ba2eaa9
Francisco Conceição,26,MF,23-191,45,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,,,5ef3d210
Vitinha,23,DM,26-130,82,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,,,3b029691
Rafael Leão,17,FWMF,27-013,8,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,,,20730eae
João Neves,15,DM,21-269,75,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,,c2a15a27
Bernardo Silva,10,FWMF,31-317,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,3eb22ec9
Nuno Mendes,25,LB,24-004,90,1,0,0,0,1,1,0,0,3,4,0,6,2,0,0,,,f20e4cc9
Renato Veiga,13,CB,22-329,90,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,,,fc8fcbd1
Rúben Dias,3,CB,29-040,90,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,,,31c69ef1
João Cancelo,20,RB,32-027,45,0,1,0,0,1,0,0,0,2,1,0,5,0,1,0,,,bd6351cd
Nélson Semedo,2,DFMF,32-219,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,d04b94db
Diogo Costa,1,GK,26-277,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,93fffbcf
