Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Kerem Aktürkoğlu,7,FW,27-241,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,f28659fb
Barış Alper Yılmaz,21,FWMF,26-027,45,0,0,0,0,1,0,0,0,2,0,0,7,0,0,0,,,414b2ce4
Kenan Yıldız,11,AM,21-046,90,0,0,0,0,6,1,0,0,1,2,0,4,1,0,0,,,d8cda243
Arda Güler,8,AM,21-114,90,0,0,0,0,3,0,0,0,0,6,1,8,1,1,0,,,3741ca58
Yunus Akgün,19,AM,25-347,59,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,,,1453e3cf
Deniz Gül,9,FW,21-352,31,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,,,f0fb443e
İsmail Yüksek,16,DM,27-144,59,0,0,0,0,2,0,0,0,1,0,0,0,2,2,0,,,6c5af908
Can Uzun,26,MF,20-220,31,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,,,1d0b134a
Hakan Çalhanoğlu,10,DM,32-131,90,0,0,0,0,6,0,0,0,1,0,0,6,3,0,0,,,cd0fa27b
Ferdi Kadioglu,20,LB,26-255,69,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,,,66c52a77
Eren Elmalı,13,DF,25-347,21,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,,,8eeb8ba4
Abdülkerim Bardakcı,14,CB,31-285,85,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,,,5d9cff53
Orkun Kökçü,6,MF,25-172,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,9bf914b4
Merih Demiral,3,CB,28-106,90,0,0,0,0,5,2,0,0,2,0,1,1,0,1,0,,,e3cceee6
Mert Müldür,18,RB,27-077,90,0,0,0,0,3,0,0,0,1,2,0,5,2,1,0,,,1295552e
Uğurcan Çakır,23,GK,30-075,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,f63a8347
