Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Amine Gouiri,9,FW,26-126,85,1,0,0,0,3,2,0,0,0,0,0,0,1,0,0,,,aad56ca3
Zineddine Belaïd,5,DF,27-094,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,b2562589
Fares Chaïbi,10,AM,23-206,90,0,0,0,0,2,1,0,0,0,1,0,3,1,2,0,,,357103bd
Ibrahim Maza,22,AM,20-210,90,0,0,0,0,4,2,0,0,0,1,0,1,1,0,0,,,89b3bc5e
Riyad Mahrez,7,AM,35-121,75,0,1,0,0,1,1,0,0,0,2,0,7,1,0,0,,,892d5bb1
Anis Hadj Moussa,11,FWMF,24-131,15,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,,,7bc7eef2
Ramiz Zerrouki,6,DM,28-027,45,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,,,c762b1a6
Nabil Bentaleb,19,MF,31-210,45,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,,,3189f61a
Hicham Boudaoui,14,DM,26-272,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,f9d5908e
Nadhir Benbouali,12,FW,26-066,45,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,,,cd25f2b3
Rayan Aït-Nouri,15,LB,25-016,84,0,0,0,0,1,0,0,0,2,2,0,4,5,1,0,,,9b398aea
Jaouen Hadjam,13,DF,23-088,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,576817b7
Ramy Bensebaini,21,CB,31-067,90,0,0,0,0,1,0,0,0,1,2,0,0,5,3,0,,,378825c7
Aïssa Mandi,2,CB,34-243,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,fbd6378b
Rafik Belghali,17,RB,24-015,90,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,,,0abcb968
Luca Zidane,23,GK,28-040,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,c818c4d9
