Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Lenny Joseph,16,FW,25-255,82,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,,,d1828392
Frantzdy Pierrot,20,FW,31-087,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,307877be
Wilson Isidor,18,FW,25-301,66,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,,,a671316d
Louicius Deedson,11,MF,25-133,24,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,f7059bb1
Ruben Providence,15,LW,24-352,66,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,,,26bab383
Duckens Nazon,9,FWMF,32-078,24,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,20e87a42
Josué Casimir,21,RW,24-273,90,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,,,481f76cf
Jean-Ricner Bellegarde,10,CM,27-362,90,0,0,0,0,3,0,0,0,3,2,0,0,1,1,0,,,10f0fdd3
Danley Jean-Jacques,17,CM,26-035,79,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,,,59fcbd6d
Dominique Simon,25,MF,25-330,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,ffd8e8c5
Martin Expérience,8,LB,27-107,90,0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,,,9edb83f4
Hannes Delcroix,5,CB,27-116,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,b737f944
Ricardo Adé,4,CB,36-034,90,0,0,0,0,1,0,0,0,2,0,0,0,1,3,0,,,a9ee5e81
Jean-Kevin Duverne,22,RB,28-347,79,0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,,,0cbc8baa
Carlens Arcus,2,DF,29-361,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,5e837126
Johny Placide,1,GK,38-146,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,f1666a9d
