Match ID,Team Type,Defenders,Midfielders,Forwards
004,away,0.35714285714285715,0.2857142857142857,0.35714285714285715
004,home,0.3076923076923077,0.5384615384615384,0.15384615384615385
005,away,0.3333333333333333,0.5833333333333334,0.08333333333333333
005,home,0.38461538461538464,0.3076923076923077,0.3076923076923077
007,away,0.35714285714285715,0.5,0.14285714285714285
007,home,0.46153846153846156,0.38461538461538464,0.15384615384615385
009,away,0.4,0.4,0.2
009,home,0.4166666666666667,0.5,0.08333333333333333
014,away,0.3333333333333333,0.4166666666666667,0.25
014,home,0.3333333333333333,0.4166666666666667,0.25
015,away,0.3333333333333333,0.25,0.4166666666666667
015,home,0.42857142857142855,0.21428571428571427,0.35714285714285715
021,away,0.5,0.3333333333333333,0.16666666666666666
021,home,0.3333333333333333,0.5,0.16666666666666666
027,away,0.4666666666666667,0.4666666666666667,0.06666666666666667
027,home,0.35714285714285715,0.2857142857142857,0.35714285714285715
031,away,0.4666666666666667,0.2,0.3333333333333333
031,home,0.35714285714285715,0.5,0.14285714285714285
035,away,0.5,0.4166666666666667,0.08333333333333333
035,home,0.25,0.25,0.5
037,away,0.35714285714285715,0.5,0.14285714285714285
037,home,0.3076923076923077,0.46153846153846156,0.23076923076923078
038,away,0.38461538461538464,0.46153846153846156,0.15384615384615385
038,home,0.4166666666666667,0.5,0.08333333333333333
039,away,0.2857142857142857,0.42857142857142855,0.2857142857142857
039,home,0.3333333333333333,0.3333333333333333,0.3333333333333333
044,away,0.42857142857142855,0.42857142857142855,0.14285714285714285
044,home,0.4666666666666667,0.4,0.13333333333333333
045,away,0.4,0.4,0.2
045,home,0.36363636363636365,0.5454545454545454,0.09090909090909091
046,away,0.4166666666666667,0.25,0.3333333333333333
046,home,0.4,0.5,0.1
052,away,0.35714285714285715,0.2857142857142857,0.35714285714285715
052,home,0.2857142857142857,0.35714285714285715,0.35714285714285715
053,away,0.23076923076923078,0.46153846153846156,0.3076923076923077
053,home,0.3333333333333333,0.5833333333333334,0.08333333333333333
057,away,0.4,0.3,0.3
057,home,0.4166666666666667,0.4166666666666667,0.16666666666666666
062,away,0.42857142857142855,0.42857142857142855,0.14285714285714285
062,home,0.3076923076923077,0.38461538461538464,0.3076923076923077
063,away,0.3333333333333333,0.4166666666666667,0.25
063,home,0.3333333333333333,0.3333333333333333,0.3333333333333333
068,away,0.36363636363636365,0.5454545454545454,0.09090909090909091
068,home,0.46153846153846156,0.38461538461538464,0.15384615384615385
071,away,0.3333333333333333,0.3333333333333333,0.3333333333333333
071,home,0.46153846153846156,0.38461538461538464,0.15384615384615385
072,away,0.36363636363636365,0.45454545454545453,0.18181818181818182
072,home,0.5,0.4166666666666667,0.08333333333333333
074,away,0.2857142857142857,0.5,0.21428571428571427
074,home,0.3333333333333333,0.3333333333333333,0.3333333333333333
075,away,0.4,0.3333333333333333,0.26666666666666666
075,home,0.3076923076923077,0.38461538461538464,0.3076923076923077
076,away,0.3333333333333333,0.5333333333333333,0.13333333333333333
076,home,0.3076923076923077,0.38461538461538464,0.3076923076923077
083,home,0.38461538461538464,0.5384615384615384,0.07692307692307693
090,away,0.4,0.5,0.1
090,home,0.46153846153846156,0.38461538461538464,0.15384615384615385
091,away,0.4,0.3,0.3
091,home,0.3076923076923077,0.3076923076923077,0.38461538461538464
092,away,0.5,0.4166666666666667,0.08333333333333333
092,home,0.2857142857142857,0.35714285714285715,0.35714285714285715
098,away,0.38461538461538464,0.46153846153846156,0.15384615384615385
098,home,0.3076923076923077,0.6153846153846154,0.07692307692307693
104,away,0.5,0.21428571428571427,0.2857142857142857
104,home,0.2857142857142857,0.6428571428571429,0.07142857142857142
