Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Ismaila Sarr,18,FW,28-121,80,1,1,0,0,3,2,0,0,0,2,1,0,0,0,0,,,bfdb33aa
Assane Diao,7,MF,20-292,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,8ae7d0ec
Sadio Mané,10,LW,34-077,90,0,0,0,0,4,1,0,0,0,2,0,4,0,0,0,,,c691bfe2
Lamine Camara,8,AM,22-176,56,0,1,0,0,1,0,0,0,1,1,0,4,0,0,0,,,19c2ffa4
Nicolas Jackson,11,FW,25-006,34,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,,,9c36ed83
Habib Diarra,21,AM,22-174,56,1,0,0,0,2,1,0,0,0,0,0,1,2,0,0,,,6d0fe035
Pape Gueye,26,MF,27-153,34,2,1,0,0,6,3,1,0,1,1,0,0,0,1,0,,,7155e3e1
Ibrahim Mbaye,20,RW,18-153,56,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,,,201b4ee4
Iliman Ndiaye,13,FWMF,26-112,34,1,1,0,0,2,2,0,0,1,0,0,1,0,0,0,,,5ed97752
Idrissa Gueye,5,DM,36-273,90,0,0,0,0,1,0,0,0,1,1,0,1,2,0,0,,,72c812f3
Ismail Jakobs,14,LB,26-313,90,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,,,a0415710
Moussa Niakhaté,19,CB,30-110,90,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,,,00242715
Abdoulaye Seck,4,CB,34-022,57,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,,,f07a0fe5
Pathé Ciss,6,DFMF,32-102,33,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,9a0408b6
Krépin Diatta,15,RB,27-121,90,0,0,0,0,1,0,0,0,1,1,0,4,3,0,0,,,8104e41e
Mory Diaw,23,GK,33-004,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,f41a69e6
