Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Oh Hyeon-gyu,18,FW,25-073,73,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,,,d25422fb
Cho Gue-sung,9,FW,28-150,17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,ccfa8e5e
Hwang Hee-chan,11,FW,30-149,45,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,,169fd162
Son Heung-min,7,FWMF,33-351,45,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,92e7e919
Lee Kang-in,19,FW,25-125,90,0,0,0,0,1,0,0,0,0,2,0,13,0,0,0,,,8455ad90
Lee Tae-seok,13,LM,23-331,45,0,0,0,0,0,0,0,0,2,0,0,5,2,0,0,,,32257cce
Jens Castrop,23,MF,22-330,45,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,,,03fee7de
Paik Seung-ho,8,CM,29-099,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1e1bea09
Kim Jin-gyu,24,MF,29-120,45,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,7c0479b1
Hwang In-beom,6,CM,29-277,90,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,,,92fa5d28
Seol Young-woo,22,RM,27-201,90,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,,,8e577e1d
Lee Gi-hyuk,3,CB,25-352,90,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,,,18c8c3c7
Kim Min-jae,4,CB,29-221,65,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,e0f8151c
Park Jinseob,16,DFMF,30-244,25,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,,,3316967a
Lee Han-beom,2,CB,24-007,90,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,,,071f2dd3
Kim Seung-gyu,1,GK,35-267,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,eabaafa6
