Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Amine Gouiri,9,FW,26-131,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,aad56ca3
Zineddine Belaïd,5,DF,27-099,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,b2562589
Houssem Aouar,8,AM,27-362,89,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,,,a5db0bec
Farés Ghedjemis,25,FWMF,23-294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,14aac43e
Ibrahim Maza,22,AM,20-215,90,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,,,89b3bc5e
Riyad Mahrez,7,AM,35-126,90,2,0,0,0,3,2,0,0,1,2,0,0,1,1,0,,,892d5bb1
Nabil Bentaleb,19,DM,31-215,90,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,,3189f61a
Fares Chaïbi,10,DM,23-211,90,0,0,0,0,3,1,0,0,0,1,0,1,1,1,0,,,357103bd
Jaouen Hadjam,13,LB,23-093,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,576817b7
Rayan Aït-Nouri,15,DFMF,25-021,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,9b398aea
Ramy Bensebaini,21,CB,31-072,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,378825c7
Aïssa Mandi,2,CB,34-248,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,fbd6378b
Rafik Belghali,17,RB,24-020,70,1,0,0,0,2,1,0,0,0,0,0,1,1,1,0,,,0abcb968
Samir Chergui,26,DF,27-141,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4b6ab1da
Oussama Benbot,16,GK,31-259,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,dcae580c
