Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Julián Álvarez,9,FW,26-169,101,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,,,15ab5a2b
Marcos Senesi,2,DF,29-070,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,35141f4c
Lionel Messi,10,FW,39-025,120,0,0,0,0,1,0,0,0,1,4,0,5,1,0,0,,,d70ce98e
Nicolás González,15,LW,28-104,45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,2374aaca
Leandro Paredes,5,MF,32-020,75,0,0,0,0,0,0,1,0,4,1,0,1,1,2,0,,,dff153a4
Rodrigo De Paul,7,RW,32-056,69,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,162efffd
Giuliano Simeone,17,FWMF,23-213,51,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,,,a6536561
Alexis Mac Allister,20,CM,27-207,120,0,0,0,0,0,0,1,0,3,2,0,0,2,1,0,,,83d074ff
Enzo Fernández,24,CM,25-183,89,0,0,0,0,0,0,2,1,3,1,0,0,1,2,0,,,5ff4ab71
Nicolás Tagliafico,3,LB,33-322,120,0,0,0,0,0,0,0,0,5,3,0,0,2,3,0,,,f0661424
Lisandro Martínez,6,CB,28-182,43,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,,,bac46a10
Nicolás Otamendi,19,DF,38-157,77,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,,,0d267745
Cristian Romero,13,CB,28-083,69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,a3d94a58
Facundo Medina,25,DF,27-052,51,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,6f5ec8bb
Gonzalo Montiel,4,RB,29-199,57,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,,,374d5158
Nahuel Molina,26,DFMF,28-104,63,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,23610943
Emiliano Martínez,23,GK,33-320,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7956236f
