Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Julio Enciso,19,FW,22-147,89,0,1,0,0,1,0,0,0,0,2,0,2,1,1,0,,,9cfbad36
Gabriel Ávalos,21,FW,35-250,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,b6781b67
Isidro Pitta,25,FW,26-309,45,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,,,e9fc7295
Damián Bobadilla,16,MF,24-343,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,ad7d6437
Matías Galarza,23,LW,24-128,89,1,0,0,0,2,1,1,0,2,3,0,2,2,1,0,,,8e97a57b
José Canale,13,DF,29-334,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,97d24b73
Miguel Almirón,10,RW,32-129,44,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,,,862a1c15
Diego Gómez,8,CM,23-084,66,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,916728da
Gustavo Velásquez,2,DF,35-063,24,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,b99b4cf5
Andrés Cubas,14,CM,30-028,90,0,0,0,0,0,0,0,0,5,1,0,0,1,3,0,,,9b40a6ea
Júnior Alonso,6,LB,33-130,90,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,,,b18a3023
Omar Alderete,3,CB,29-175,90,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,,,bb08bce9
Gustavo Gómez,15,CB,33-044,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,d5ce52a5
Juan Cáceres,4,RB,26-018,80,0,0,0,0,1,1,0,0,2,1,0,1,5,1,0,,,db887bdf
Alexandro Maidana,26,DF,20-328,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4d0d5020
Orlando Gill,12,GK,26-008,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0d425331
