Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Antonio Sanabria,9,FW,30-100,61,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,0a447501
Álex Arce,18,FW,30-361,29,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,,10411db2
Julio Enciso,19,FW,22-140,90,0,1,0,0,2,0,0,0,0,4,0,1,2,0,0,,,9cfbad36
Miguel Almirón,10,LW,32-122,78,0,0,0,0,2,0,1,0,1,1,0,0,1,1,0,,,862a1c15
Ramón Sosa,7,FWMF,26-285,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,2d3417a1
Diego Gómez,8,RW,23-077,79,0,0,0,0,4,0,1,0,1,0,0,0,1,2,0,,,916728da
Kaku,17,MF,31-152,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,cb01ad74
Damián Bobadilla,16,CM,24-336,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,ad7d6437
Mauricio,11,MF,25-021,45,1,0,0,0,1,1,0,0,0,1,0,0,2,0,0,,,bf4cbc22
Andrés Cubas,14,CM,30-021,90,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,,,9b40a6ea
Júnior Alonso,6,LB,33-123,90,0,0,0,0,0,0,1,0,1,1,0,1,2,2,0,,,b18a3023
Omar Alderete,3,CB,29-168,90,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,bb08bce9
Gustavo Gómez,15,CB,33-037,90,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,,,d5ce52a5
Juan Cáceres,4,RB,26-011,78,0,0,0,0,0,0,1,0,3,2,0,3,3,0,0,,,db887bdf
Gustavo Velásquez,2,DF,35-056,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,b99b4cf5
Orlando Gill,12,GK,26-001,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0d425331
