Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Musab Al Juwayr,7,FW,22-360,62,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,,,62592fc1
Nasser Al-Dawsari,6,DFMF,27-178,28,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,,,7709e4a6
Firas Al-Buraikan,9,FW,26-032,89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,ac717a23
Alaa Al Hejji,18,MF,30-194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6d258576
Salem Al-Dawsari,10,LW,34-300,90,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,,,60ee859c
Mohammed Abu Al-Shamat,26,RW,23-308,80,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,dd65e243
Nawaf Boushal,13,DF,26-272,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,7dc1c2c6
Abdullah Al-Khaibari,15,CM,29-303,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,ab47ae1c
Mohamed Kanno,23,CM,31-266,90,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,,,74ccf212
Moteb Al-Harbi,24,LB,26-115,89,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,,,1d88554c
Abdullah Al-Hamdan,19,FW,26-275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,cc4b5436
Hassan Al Tambakti,5,CB,27-126,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,6d78c320
Abdulelah Al-Amri,4,CB,29-151,90,1,0,0,0,2,2,1,0,1,0,0,0,1,1,0,,,fd0affe3
Saud Abdulhamid,12,RB,26-332,89,0,0,0,0,1,0,0,0,2,1,0,0,3,0,0,,,caa254e4
Ali Lajami,3,DF,30-052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46f7ab4f
Mohammed Al-Owais,21,GK,34-248,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,f2c060c6
