Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Mikel Oyarzabal,21,FW,29-066,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,8c3c640c
Ferran Torres,7,FWMF,26-117,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,9e1035f8
Álex Baena,15,FW,24-341,65,1,0,0,0,1,1,1,0,4,0,0,6,1,0,0,,,518f2234
Yéremy Pino,11,FWMF,23-249,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,540ec57b
Lamine Yamal,19,FW,18-348,75,0,0,0,0,1,0,0,0,0,1,1,3,1,1,0,,,82ec26c1
Nico Williams,17,MF,23-349,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,afdc14d7
Pedri,20,CM,23-213,59,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,,,0d9b2d31
Fabián Ruiz Peña,8,MF,30-084,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,c0c7ff58
Mikel Merino,6,CM,30-004,59,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,,,d080ed5e
Dani Olmo,10,FWMF,28-050,31,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,,,ae44e8e2
Rodri,16,DM,30-004,90,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,,,6434f10d
Marc Cucurella,24,LB,27-339,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,1daec722
Aymeric Laporte,14,CB,32-030,90,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,,,119b9a8e
Pau Cubarsí,22,CB,19-155,90,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,cc7888f3
Marcos Llorente,5,RB,31-147,90,0,1,0,0,0,0,0,0,1,0,0,2,3,1,0,,,02c15616
Unai Simón,23,GK,29-015,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5dcf3e90
