Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Ismael Saibari,11,FW,25-152,120,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,,,3ec9f005
Bilal El Khannouss,23,AM,22-050,86,0,0,0,0,1,1,0,0,0,1,0,4,1,0,0,,,f7042636
Chemsdine Talbi,7,MF,21-051,34,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,,,47ce793b
Azzedine Ounahi,8,AM,26-071,85,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,,,83299cc0
Soufiane Rahimi,9,FW,30-027,35,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,,,f126a259
Brahim Díaz,10,AM,26-330,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,407feb71
Gessime Yassine,16,MF,20-219,42,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,,,f5ccae19
Neil El Aynaoui,24,DM,24-362,120,0,0,0,0,1,1,0,0,5,1,0,0,2,1,0,,,17e1261b
Ayyoub Bouaddi,6,DM,18-270,78,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,,,8006228f
Samir El Mourabet,15,MF,20-266,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1a03d055
Noussair Mazraoui,3,LB,28-227,120,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,,,b74277a0
Chadi Riad,18,CB,23-012,74,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,b3b9b8b8
Anass Salah-Eddine,26,DF,24-162,46,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,,,0d274394
Issa Diop,14,CB,29-171,120,1,0,0,0,1,1,1,0,2,0,0,0,0,3,0,,,a712ca2b
Achraf Hakimi,2,RB,27-237,120,0,0,0,0,3,1,0,0,0,2,0,9,1,2,0,,,e42d61c7
Yassine Bounou,1,GK,35-085,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,f6798fc3
