Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Charles De Ketelaere,17,FW,25-122,90,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,,,2ef7c612
Jeremy Doku,11,AM,24-044,90,0,0,0,0,0,0,0,0,3,5,0,2,1,2,0,,,fffea3e5
Kevin De Bruyne,7,AM,35-012,85,0,0,0,0,2,1,1,0,2,1,0,1,1,0,0,,,e46012d4
Alexis Saelemaekers,22,MF,27-013,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ee251371
Leandro Trossard,10,AM,31-218,59,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,38ceb24a
Axel Witsel,6,DFMF,37-179,31,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,,,5dfc6ad5
Nicolas Raskin,23,DM,25-137,90,0,0,0,0,0,0,0,0,5,2,0,3,1,2,0,,,dba1f190
Hans Vanaken,20,DM,33-320,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,392a7aea
Romelu Lukaku,9,FW,33-058,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,5eae500a
Maxim De Cuyper,5,LB,25-200,60,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,,,d494882e
Joaquin Seys,18,DF,21-104,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0beabf0a
Brandon Mechele,4,CB,33-163,90,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,,,0a6dbbf7
Nathan Ngoy,25,CB,23-030,90,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,,,eb7abf2e
Timothy Castagne,21,RB,30-217,90,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,,,197640fd
Thibaut Courtois,1,GK,34-060,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1840e36d
Senne Lammens,12,GK,24-003,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8e6d2fcd
