Match ID,Team Type,Defenders,Midfielders,Forwards,Possession
4,away,0.3571428571428571,0.2857142857142857,0.3571428571428571,0.35
4,home,0.3076923076923077,0.5384615384615384,0.1538461538461538,0.65
5,away,0.3333333333333333,0.5833333333333334,0.0833333333333333,0.68
5,home,0.3846153846153846,0.3076923076923077,0.3076923076923077,0.32
7,away,0.3571428571428571,0.5,0.1428571428571428,0.72
7,home,0.4615384615384615,0.3846153846153846,0.1538461538461538,0.28
9,away,0.4,0.4,0.2,0.35
9,home,0.4166666666666667,0.5,0.0833333333333333,0.65
14,away,0.3333333333333333,0.4166666666666667,0.25,0.26
14,home,0.3333333333333333,0.4166666666666667,0.25,0.74
15,away,0.3333333333333333,0.25,0.4166666666666667,0.67
15,home,0.4285714285714285,0.2142857142857142,0.3571428571428571,0.33
21,away,0.5,0.3333333333333333,0.1666666666666666,0.25
21,home,0.3333333333333333,0.5,0.1666666666666666,0.75
27,away,0.4666666666666667,0.4666666666666667,0.0666666666666666,0.21
27,home,0.3571428571428571,0.2857142857142857,0.3571428571428571,0.79
31,away,0.4666666666666667,0.2,0.3333333333333333,0.22
31,home,0.3571428571428571,0.5,0.1428571428571428,0.79
35,away,0.5,0.4166666666666667,0.0833333333333333,0.25
35,home,0.25,0.25,0.5,0.75
37,away,0.3571428571428571,0.5,0.1428571428571428,0.33
37,home,0.3076923076923077,0.4615384615384615,0.2307692307692307,0.67
38,away,0.3846153846153846,0.4615384615384615,0.1538461538461538,0.3
38,home,0.4166666666666667,0.5,0.0833333333333333,0.7
39,away,0.2857142857142857,0.4285714285714285,0.2857142857142857,0.35
39,home,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.65
44,away,0.4285714285714285,0.4285714285714285,0.1428571428571428,0.72
44,home,0.4666666666666667,0.4,0.1333333333333333,0.28
45,away,0.4,0.4,0.2,0.34
45,home,0.3636363636363636,0.5454545454545454,0.0909090909090909,0.66
46,away,0.4166666666666667,0.25,0.3333333333333333,0.21
46,home,0.4,0.5,0.1,0.79
52,away,0.3571428571428571,0.2857142857142857,0.3571428571428571,0.31
52,home,0.2857142857142857,0.3571428571428571,0.3571428571428571,0.69
53,away,0.2307692307692307,0.4615384615384615,0.3076923076923077,0.69
53,home,0.3333333333333333,0.5833333333333334,0.0833333333333333,0.32
57,away,0.4,0.3,0.3,0.72
57,home,0.4166666666666667,0.4166666666666667,0.1666666666666666,0.29
62,away,0.4285714285714285,0.4285714285714285,0.1428571428571428,0.31
62,home,0.3076923076923077,0.3846153846153846,0.3076923076923077,0.69
63,away,0.3333333333333333,0.4166666666666667,0.25,0.67
63,home,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33
68,away,0.3636363636363636,0.5454545454545454,0.0909090909090909,0.67
68,home,0.4615384615384615,0.3846153846153846,0.1538461538461538,0.33
71,away,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.73
71,home,0.4615384615384615,0.3846153846153846,0.1538461538461538,0.27
72,away,0.3636363636363636,0.4545454545454545,0.1818181818181818,0.35
72,home,0.5,0.4166666666666667,0.0833333333333333,0.65
74,away,0.2857142857142857,0.5,0.2142857142857142,0.31
74,home,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.69
75,away,0.4,0.3333333333333333,0.2666666666666666,0.25
75,home,0.3076923076923077,0.3846153846153846,0.3076923076923077,0.75
76,away,0.3333333333333333,0.5333333333333333,0.1333333333333333,0.7
76,home,0.3076923076923077,0.3846153846153846,0.3076923076923077,0.3
83,home,0.3846153846153846,0.5384615384615384,0.0769230769230769,0.65
90,away,0.4,0.5,0.1,0.76
90,home,0.4615384615384615,0.3846153846153846,0.1538461538461538,0.24
91,away,0.4,0.3,0.3,0.66
91,home,0.3076923076923077,0.3076923076923077,0.3846153846153846,0.34
92,away,0.5,0.4166666666666667,0.0833333333333333,0.33
92,home,0.2857142857142857,0.3571428571428571,0.3571428571428571,0.67
98,away,0.3846153846153846,0.4615384615384615,0.1538461538461538,0.32
98,home,0.3076923076923077,0.6153846153846154,0.0769230769230769,0.68
104,away,0.5,0.2142857142857142,0.2857142857142857,0.35
104,home,0.2857142857142857,0.6428571428571429,0.0714285714285714,0.65
