id,voteStatus,stage,roundName,votingStartDate,votingEndDate,votingOpenedAt,selectedFormation,winners,formations,id,venueName,venueCity,venueId,date,homeSquadId,awaySquadId,homeSquadName,awaySquadName,homeSquadAbbr,awaySquadAbbr,homeScore,awayScore,groupName,matchDay
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,20,Levi's Stadium,"Santa Clara, California",5,2026-06-17T05:00:00+01:00,4,50,Austria,Jordan,AUT,JOR,3,1,J,1
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,21,Nrg Stadium,"Houston, Texas",9,2026-06-17T18:00:00+01:00,59,11,Portugal,Congo DR,POR,COD,1,1,K,1
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,22,At&t Stadium,"Arlington, Texas",10,2026-06-17T21:00:00+01:00,18,13,England,Croatia,ENG,CRO,4,2,L,1
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,23,Bmo Field,Toronto,3,2026-06-18T00:00:00+01:00,21,57,Ghana,Panama,GHA,PAN,1,0,L,1
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,24,Estadio Banorte,Mexico City,1,2026-06-18T03:00:00+01:00,112,10,Uzbekistan,Colombia,UZB,COL,1,3,K,1
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,25,Mercedes-benz Stadium,"Atlanta, Georgia",13,2026-06-18T17:00:00+01:00,15,96,Czechia,South Africa,CZE,RSA,1,1,A,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,26,Sofi Stadium,"Inglewood, California",4,2026-06-18T20:00:00+01:00,99,6,Switzerland,Bosnia and Herzegovina,SUI,BIH,4,1,B,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,27,Bc Place,Vancouver,8,2026-06-18T23:00:00+01:00,9,60,Canada,Qatar,CAN,QAT,6,0,B,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,28,Estadio Akron,Guadalajara,2,2026-06-19T02:00:00+01:00,52,51,Mexico,Korea Republic,MEX,KOR,1,0,A,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,29,Lumen Field,"Seattle, Washington",14,2026-06-19T20:00:00+01:00,111,3,USA,Australia,USA,AUS,2,0,D,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,30,Gillette Stadium,"Foxborough, Massachusetts",7,2026-06-19T23:00:00+01:00,90,53,Scotland,Morocco,SCO,MAR,0,1,C,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,31,Lincoln Financial Field,"Philadelphia, Pennsylvania",11,2026-06-20T01:30:00+01:00,7,46,Brazil,Haiti,BRA,HAI,3,0,C,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,32,Levi's Stadium,"Santa Clara, California",5,2026-06-20T04:00:00+01:00,109,58,Türkiye,Paraguay,TUR,PAR,0,1,D,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,33,Nrg Stadium,"Houston, Texas",9,2026-06-20T18:00:00+01:00,54,98,Netherlands,Sweden,NED,SWE,5,1,F,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,34,Bmo Field,Toronto,3,2026-06-20T21:00:00+01:00,20,12,Germany,Côte d'Ivoire,GER,CIV,2,1,E,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,35,Geha Field At Arrowhead Stadium,"Kansas City, Missouri",16,2026-06-21T01:00:00+01:00,16,14,Ecuador,Curaçao,ECU,CUW,0,0,E,2
