Rank,Player,Team,Position,Passes,Passes_Completed,Passing_Accuracy(%),Crosses,Crossing_Accuracy(%),Take-Ons_Completed,Defensive_Linebreaks_Attempted,Defensive_Linebreaks_Acc(%),Switched_of_Play_Attempted,Switches_of_Play_Acc(%)
135,Lewis Ferguson,SCO,MF,201,185,92,9,11,0,3,33,1,100
135,Djed Spence,ENG,DF,201,177,88,9,0,5,17,65,0,0
138,Marin Pongracic,CRO,DF,200,182,91,0,0,0,1,0,1,100
138,Bruno Guimaraes,BRA,MF,200,161,81,12,17,0,15,33,4,75
138,Daichi Kamada,JPN,MF,200,170,85,4,50,1,6,50,3,100
138,Lee Hanbeom,KOR,DF,200,183,92,2,50,0,3,33,1,100
138,Victor Lindelof,SWE,DF,200,190,95,0,0,0,3,67,1,100
143,Harry Souttar,AUS,DF,199,171,86,0,0,1,8,38,3,33
143,Erik Lira,MEX,MF,199,182,91,2,100,2,2,0,5,100
143,Leandro Trossard,BEL,FW,199,171,86,11,45,10,11,55,4,75
143,Hiroki Ito,JPN,DF,199,178,89,10,20,0,11,27,2,50
147,Arda Guler,TUR,FW,198,170,86,14,29,6,9,67,5,80
147,Thibaut Courtois,BEL,GK,198,144,73,0,0,0,5,0,0,0
149,Desire Doue,FRA,FW,196,167,85,5,40,10,15,47,3,100
149,Teboho Mokoena,RSA,MF,196,176,90,3,0,1,6,50,4,100
