Group,Mean Aggression Ratio,Median Aggression Ratio,Std Dev Aggression Ratio,N Goalkeepers
High Aggression,0.8989886391793466,0.8946648426812585,0.04521270046377322,6
Low Aggression,0.7948741776208973,0.8082706766917294,0.03435492588279962,6
