id,voteStatus,stage,roundName,votingStartDate,votingEndDate,votingOpenedAt,selectedFormation,winners,formations,id.1,venueName,venueCity,venueId,date,homeSquadId,awaySquadId,homeSquadName,awaySquadName,homeSquadAbbr,awaySquadAbbr,homeScore,awayScore,groupName,matchDay,goal_diff,rank,team_id,Team,TeamAbbr,home_Goals,Assists,home_Attempts_at_goal,home_Attempts_on_target,Off_Target_Attempts,home_ConversionRate,home_Attempts_inside_PA,Attemps_Outside_PenaltyArea,home_Headed_attempts,home_xG,xG_Efficiency,Corners,home_Possession,rank_away,team_id_away,Team_away,TeamAbbr_away,away_Goals,Assists_away,away_Attempts_at_goal,away_Attempts_on_target,Off_Target_Attempts_away,away_ConversionRate,away_Attempts_inside_PA,Attemps_Outside_PenaltyArea_away,away_Headed_attempts,away_xG,xG_Efficiency_away,Corners_away,away_Possession,diff_goals_scored,diff_attempts_at_goal,diff_attempts_on_target,diff_conversion_rate,diff_attempts_inside_pa,diff_headed_attempts,diff_xG,diff_possession
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,11,Lincoln Financial Field,"Philadelphia, Pennsylvania",11,2026-06-15T00:00:00+01:00,12,16,Côte d'Ivoire,Ecuador,CIV,ECU,1,0,E,1,1,20,12,Cabo Verde,CIV,4,2,49,12,21,8,20,29,6,2.56,1.56,17,35,19,16,Ecuador,ECU,2,2,53,20,26,4,35,18,12,5.88,0.34x,25,52,2,-4,-8,4,-15,-6,-3.32,-17
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,12,Estadio Bbva,Guadalupe,12,2026-06-15T03:00:00+01:00,98,108,Sweden,Tunisia,SWE,TUN,5,1,F,1,4,22,98,Sweden,SWE,7,6,48,23,18,15,30,18,8,4.66,1.5,18,43,11,108,Turkiye,TUN,3,2,70,14,35,4,37,33,7,5.5,0.55x,22,58,4,-22,9,11,-7,1,-0.8399999999999999,-15
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,13,Mercedes-benz Stadium,"Atlanta, Georgia",13,2026-06-15T17:00:00+01:00,97,8,Spain,Cabo Verde,ESP,CPV,0,0,H,1,0,1,97,Spain,ESP,14,10,140,54,59,10,79,61,22,17.48,0.8,54,58,7,8,Canada,CPV,9,3,81,32,29,11,57,24,16,9.02,1x,50,46,5,59,22,-1,22,6,8.46,12
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,14,Lumen Field,"Seattle, Washington",14,2026-06-15T20:00:00+01:00,5,17,Belgium,Egypt,BEL,EGY,1,1,G,1,0,5,5,Belgium,BEL,14,10,112,35,43,13,74,38,16,10.62,1.32,24,46,15,17,Egypt,EGY,8,8,67,19,30,12,42,25,10,5.75,1.39x,26,46,6,45,16,1,32,6,4.869999999999999,0
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,15,Hard Rock Stadium,"Miami Gardens, Florida",15,2026-06-15T23:00:00+01:00,89,110,Saudi Arabia,Uruguay,KSA,URU,1,1,H,1,0,47,89,Saudi Arabia,KSA,1,0,17,8,5,6,8,9,3,1.52,0.66,7,33,20,110,Uruguay,URU,3,1,49,13,25,6,27,22,15,3.95,0.76x,26,51,-2,-32,-5,0,-19,-12,-2.43,-18
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,16,Sofi Stadium,"Inglewood, California",4,2026-06-16T02:00:00+01:00,47,55,IR Iran,New Zealand,IRN,NZL,2,2,G,1,0,29,47,IR Iran,IRN,3,1,37,10,15,8,26,11,7,4.57,0.66,8,37,37,55,New Zealand,NZL,4,3,31,15,8,13,19,12,6,2.48,1.62x,10,42,-1,6,-5,-5,7,1,2.0900000000000003,-5
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,17,Metlife Stadium,"East Rutherford, New Jersey",6,2026-06-16T20:00:00+01:00,19,95,France,Senegal,FRA,SEN,3,1,I,1,2,2,19,France,FRA,20,18,139,59,59,14,77,62,10,16.78,1.19,51,51,14,95,Senegal,SEN,10,9,68,22,32,15,38,30,7,7.22,1.38x,22,49,10,71,37,-1,39,3,9.560000000000002,2
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,18,Gillette Stadium,"Foxborough, Massachusetts",7,2026-06-16T23:00:00+01:00,48,56,Iraq,Norway,IRQ,NOR,1,4,I,1,-3,44,48,Iraq,IRQ,1,1,21,2,13,5,12,9,6,2.11,0.47,7,37,16,56,Norway,NOR,13,10,65,30,25,20,52,13,13,9.93,1.31x,29,49,-12,-44,-28,-15,-40,-7,-7.82,-12
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,19,Geha Field At Arrowhead Stadium,"Kansas City, Missouri",16,2026-06-17T02:00:00+01:00,2,1,Argentina,Algeria,ARG,ALG,3,0,J,1,3,4,2,Argentina,ARG,19,12,115,46,49,17,66,49,22,15.45,1.23,41,53,25,1,Algeria,ALG,5,3,44,16,16,11,26,18,5,4.73,1.06x,14,56,14,71,30,6,40,17,10.719999999999999,-3
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,20,Levi's Stadium,"Santa Clara, California",5,2026-06-17T05:00:00+01:00,4,50,Austria,Jordan,AUT,JOR,3,1,J,1,2,37,4,Austria,AUT,6,4,31,8,18,19,19,12,7,3.88,1.55,10,41,42,50,Jordan,JOR,3,3,24,9,9,13,13,11,3,1.87,1.6x,6,29,3,7,-1,6,6,4,2.01,12
