Rank,Player,Team,Position,Offers_to_Receive,Offers_in_Behind,Offers_in_Between,Offers_in_Front,Offers_Inside_Team_Shape,Offers_Outside_Team_Shape,Receptions_In_Behind,Receptions_Between_Midfield_And_DefensiveLine,Receptions_Under_Pressure,Player_Involvements
118,Luis Romo,MEX,MF,153,41,70,42,119,34,2,21,62,242
118,Breel Embolo,SUI,FW,153,101,51,1,131,22,10,83,88,199
120,Nathaniel Brown,GER,DF,152,60,55,37,62,90,8,41,65,304
121,Facundo Medina,ARG,DF,151,46,39,66,37,114,5,20,46,328
121,Ryan Mendes,CPV,FW,151,52,84,15,50,101,0,35,51,211
121,Ramin Rezaeian,IRN,DF,151,29,67,55,19,132,3,19,43,223
124,Marcus Rashford,ENG,FW,150,85,48,17,50,100,15,71,70,284
124,Mikel Merino,ESP,MF,150,54,78,18,102,48,5,38,58,227
124,Hannibal Mejbri,TUN,MF,150,25,93,32,73,77,3,30,75,289
127,Raul Jimenez,MEX,FW,149,73,72,4,107,42,6,75,74,190
127,Antonio Nusa,NOR,FW,149,27,110,12,39,110,1,62,67,234
129,Leroy Sane,GER,MF,148,55,73,20,36,112,2,94,122,439
129,Noah Sadiki,COD,MF,148,9,96,43,109,39,0,20,47,242
129,Gilberto Mora,MEX,MF,148,34,83,31,96,52,2,37,52,209
129,Moises Caicedo,ECU,MF,148,7,58,83,110,38,0,24,64,640
129,Yasin Ayari,SWE,MF,148,21,59,68,111,37,2,28,85,278
134,Jeremy Doku,BEL,FW,147,51,73,23,58,89,5,88,87,263
135,Samuel Moutoussamy,COD,MF,146,8,79,59,109,37,1,14,62,320
136,Teboho Mokoena,RSA,MF,144,13,50,81,89,55,1,12,87,428
136,Ezri Konsa,ENG,DF,144,4,12,128,76,68,3,7,67,979
138,Frenkie De Jong,NED,MF,143,2,32,109,106,37,0,8,69,519
138,Junya Ito,JPN,MF,143,36,86,21,80,63,4,45,54,215
140,Idrissa Gana Gueye,SEN,MF,142,6,54,82,103,39,2,11,86,578
140,Nicolas Tagliafico,ARG,DF,142,60,41,41,31,111,6,51,42,437
142,Agustin Canobbio,URU,MF,141,76,50,15,42,99,9,50,60,185
142,Luka Modric,CRO,MF,141,14,47,80,114,27,1,13,50,509
142,Lamine Camara,SEN,MF,141,32,63,46,101,40,2,25,98,307
142,Aaron Wan Bissaka,COD,DF,141,58,48,35,39,102,5,19,54,287
146,Rodrigo Bentancur,URU,MF,140,23,57,60,111,29,1,24,82,396
146,Sergino Dest,USA,DF,140,70,48,22,63,77,4,54,53,248
146,Pau Cubarsi,ESP,DF,140,0,0,140,74,66,0,4,74,1454
146,Connor Metcalfe,AUS,MF,140,34,89,17,80,60,2,37,64,199
150,Sarpreet Singh,NZL,MF,139,39,77,23,65,74,1,54,63,196
